timestamp,event_type,key,button,scroll_dx,scroll_dy,mouse_x,mouse_y,event_state
1748625293.3119273,mouse_move,,,,,775,625,moved
1748625293.3204064,mouse_move,,,,,775,622,moved
1748625293.3269165,mouse_move,,,,,775,620,moved
1748625293.3343842,mouse_move,,,,,775,618,moved
1748625293.3411977,mouse_move,,,,,775,617,moved
1748625293.348036,mouse_move,,,,,774,615,moved
1748625293.3570716,mouse_move,,,,,774,615,moved
1748625293.3692205,mouse_move,,,,,774,614,moved
1748625293.3832095,mouse_move,,,,,774,614,moved
1748625293.4321382,mouse_move,,,,,774,614,moved
1748625293.4466808,mouse_move,,,,,774,614,moved
1748625293.4668627,mouse_move,,,,,774,614,moved
1748625293.4746404,mouse_move,,,,,773,614,moved
1748625293.4884422,mouse_move,,,,,773,615,moved
1748625293.4941018,mouse_move,,,,,773,615,moved
1748625293.5155468,mouse_move,,,,,773,616,moved
1748625293.5432186,mouse_move,,,,,773,616,moved
1748625293.5572596,mouse_move,,,,,773,617,moved
1748625293.606007,mouse_move,,,,,773,617,moved
1748625293.627617,mouse_move,,,,,773,618,moved
1748625293.6407585,mouse_move,,,,,773,618,moved
1748625293.6556742,mouse_move,,,,,773,618,moved
1748625293.6617205,mouse_move,,,,,773,619,moved
1748625293.6756394,mouse_move,,,,,773,620,moved
1748625293.691104,mouse_move,,,,,773,620,moved
1748625293.6968462,mouse_move,,,,,773,620,moved
1748625293.7115746,mouse_move,,,,,774,621,moved
1748625293.7262044,mouse_move,,,,,774,621,moved
1748625293.7330706,mouse_move,,,,,774,622,moved
1748625293.7396946,mouse_move,,,,,774,622,moved
1748625293.7466109,mouse_move,,,,,774,623,moved
1748625293.760673,mouse_move,,,,,774,624,moved
1748625293.7679253,mouse_move,,,,,774,624,moved
1748625293.7745364,mouse_move,,,,,774,625,moved
1748625293.7820477,mouse_move,,,,,774,625,moved
1748625293.7883632,mouse_move,,,,,774,626,moved
1748625293.7957084,mouse_move,,,,,774,626,moved
1748625293.8080719,mouse_move,,,,,774,627,moved
1748625293.816971,mouse_move,,,,,774,628,moved
1748625293.823401,mouse_move,,,,,774,628,moved
1748625293.8310556,mouse_move,,,,,774,629,moved
1748625293.8368607,mouse_move,,,,,774,629,moved
1748625293.8588724,mouse_move,,,,,774,630,moved
1748625293.8714058,mouse_move,,,,,774,630,moved
1748625293.8854575,mouse_move,,,,,774,631,moved
1748625294.4310095,mouse_move,,,,,774,635,moved
1748625294.4391565,mouse_move,,,,,774,640,moved
1748625294.446691,mouse_move,,,,,775,647,moved
1748625294.452547,mouse_move,,,,,775,653,moved
1748625294.4595118,mouse_move,,,,,776,660,moved
1748625294.4666083,mouse_move,,,,,777,666,moved
1748625294.4731617,mouse_move,,,,,778,671,moved
1748625294.4799821,mouse_move,,,,,779,676,moved
1748625294.4868362,mouse_move,,,,,780,679,moved
1748625294.494032,mouse_move,,,,,781,681,moved
1748625294.5011365,mouse_move,,,,,781,684,moved
1748625294.508049,mouse_move,,,,,781,686,moved
1748625294.5145063,mouse_move,,,,,781,687,moved
1748625294.5217266,mouse_move,,,,,781,689,moved
1748625294.5297768,mouse_move,,,,,782,690,moved
1748625294.536513,mouse_move,,,,,782,691,moved
1748625294.5434458,mouse_move,,,,,783,692,moved
1748625294.5496614,mouse_move,,,,,783,693,moved
1748625294.5569746,mouse_move,,,,,783,693,moved
1748625294.5644386,mouse_move,,,,,783,694,moved
1748625294.578912,mouse_move,,,,,783,694,moved
1748625294.5854876,mouse_move,,,,,783,695,moved
1748625294.5926082,mouse_move,,,,,783,695,moved
1748625294.5993774,mouse_move,,,,,783,696,moved
1748625294.6060867,mouse_move,,,,,783,697,moved
1748625294.6204464,mouse_move,,,,,784,697,moved
1748625294.6279478,mouse_move,,,,,784,698,moved
1748625294.6344178,mouse_move,,,,,784,698,moved
1748625294.6476452,mouse_move,,,,,784,699,moved
